InputVarType, OutputVarType, InputAlias, OutputAlias,TargetName, InputFileVarName, OutputFileVarName, InputBaseValue, OutputBaseValue, InputNewValue, OutputNewValue
IRP, O_t, EX, ASET_5, Time, VOLUME_FLOW, V1, 0.25, 197.35, 0.166667, 183.48
IRP, O_t, EX, ASET_10, Time, VOLUME_FLOW, V1, 0.25, 183.50, 0.166667, 174.42
ISG, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 0.675000, 199.15
ISG, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 0.675000, 185.82
ISG, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 0.825000, 195.09
ISG, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 0.825000, 183.27
ISG, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 0.675000, 199.15
ISG, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 0.675000, 185.82
ISG, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 0.825000, 195.09
ISG, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 0.825000, 183.27
ISP, O_t, EX, ASET_5, Time, VOLUME_FLOW, V1, 0.25, 197.35, 0.225000, 191.31
ISP, O_t, EX, ASET_10, Time, VOLUME_FLOW, V1, 0.25, 183.50, 0.225000, 179.22
ISP, O_t, HRR, ASET_5, Time, HRRPUA, V1, 3000.0, 197.35, 3300.000000, 190.28
ISP, O_t, HRR, ASET_10, Time, HRRPUA, V1, 3000.0, 183.50, 3300.000000, 178.35
ISP, O_t, HRR, ASET_5, Time, HRRPUA, V1, 3000.0, 197.35, 3300.000000, 186.62
ISP, O_t, HRR, ASET_10, Time, HRRPUA, V1, 3000.0, 183.50, 3300.000000, 175.09
ISP, O_t, HRR, ASET_5, Time, HRRPUA, V1, 3000.0, 197.35, 2700.000000, 199.62
ISP, O_t, HRR, ASET_10, Time, HRRPUA, V1, 3000.0, 183.50, 2700.000000, 187.81
ISP, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.057200, 195.66
ISP, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.057200, 181.82
ISP, O_t, EX, ASET_5, Time, VOLUME_FLOW, V1, 0.25, 197.35, 0.275000, 197.77
ISP, O_t, EX, ASET_10, Time, VOLUME_FLOW, V1, 0.25, 183.50, 0.275000, 187.62
ISP, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.057200, 195.66
ISP, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.057200, 181.82
ISP, O_t, HRR, ASET_5, Time, HRRPUA, V1, 3000.0, 197.35, 2700.000000, 199.62
ISP, O_t, HRR, ASET_10, Time, HRRPUA, V1, 3000.0, 183.50, 2700.000000, 187.81
ISP, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.046800, 196.87
ISP, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.046800, 181.54
ISP, O_t, EX, ASET_5, Time, VOLUME_FLOW, V1, 0.25, 197.35, 0.225000, 188.92
ISP, O_t, EX, ASET_10, Time, VOLUME_FLOW, V1, 0.25, 183.50, 0.225000, 180.27
ISP, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.046800, 196.87
ISP, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.046800, 181.54
ISP, O_t, EX, ASET_5, Time, VOLUME_FLOW, V1, 0.25, 197.35, 0.275000, 198.48
ISP, O_t, EX, ASET_10, Time, VOLUME_FLOW, V1, 0.25, 183.50, 0.275000, 183.98
I_C, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 0.375000, 299.73
I_C, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 0.375000, 258.44
I_C, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.03, 299.73
I_C, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.03, 258.44
I_C, O_t, EX, ASET_5, Time, VOLUME_FLOW, V1, 0.25, 197.35, 0.35, 299.73
I_C, O_t, EX, ASET_10, Time, VOLUME_FLOW, V1, 0.25, 183.50, 0.35, 258.44
I_C, O_t, HRR, ASET_5, Time, HRRPUA, V1, 3000.0, 197.35, 2200, 299.73
